title,link,snippet
"1 Cgs Computer Generated Solutions jobs in New York, United States",https://www.linkedin.com/jobs/cgs-computer-generated-solutions-jobs-new-york,"Nov 18, 2024 ... Get notified about new Cgs Computer Generated Solutions jobs in New York, United States. ... Accountant. CGS (Computer Generated Solutions). New York, NY."
The City University of New York hiring IT Academic Technology ...,https://www.linkedin.com/jobs/view/it-academic-technology-coord-computer-science-department-at-the-city-university-of-new-york-4077752287,"Nov 18, 2024 ... This role is responsible for coordinating security patching efforts, providing support for Linux, Mac, and Windows based systems, and assisting faculty and ..."
"Meta hiring Research Scientist, GenAI Safety Evaluations ...",https://www.linkedin.com/jobs/view/research-scientist-genai-safety-evaluations-computer-vision-at-meta-4081763775,"Nov 20, 2024 ... Research Scientist, GenAI Safety Evaluations - Computer Vision. Meta New York, NY. 2 weeks ago Be among the first 25 applicants."
Jobs via Dice hiring Computer Specialist (SW) 1-IV - Oracle (TWU ...,https://www.linkedin.com/jobs/view/computer-specialist-sw-1-iv-oracle-twu-represented-at-jobs-via-dice-4078167407,"Nov 19, 2024 ... Computer Specialist (SW) 1-IV - Oracle (TWU Represented). Jobs via Dice New York, NY. Just now Be among the first 25 applicants."
NYC Department of Education hiring School Computer Technology ...,https://www.linkedin.com/jobs/view/school-computer-technology-specialist-l1-10x445-24712-at-nyc-department-of-education-4084627611,"Dec 2, 2024 ... School Computer Technology Specialist - L1 (10X445) - 24712. NYC Department of Education Bronx, NY. 1 week ago Be among the first 25 ..."
"Hall Booth Smith, P.C. hiring Office Assistant in New York, New York ...",https://www.linkedin.com/jobs/view/office-assistant-at-hall-booth-smith-p-c-4077950031,"Nov 15, 2024 ... Posted 2:47:12 AM. SummaryThe New York City office of Hall Booth Smith, P.C. seeks an Office Assistant to perform the…See this and similar jobs on LinkedIn."
"Jobot hiring Structural CAD Drafter in New York, NY | LinkedIn",https://www.linkedin.com/jobs/view/structural-cad-drafter-at-jobot-4078816562,"Nov 20, 2024 ... Referrals increase your chances of interviewing at Jobot by 2x. See who you know. Get notified about new Computer Aided Design Drafter jobs in New York, NY."
"Meta hiring Research Scientist Intern, Computer Vision for Gen AI ...",https://www.linkedin.com/jobs/view/research-scientist-intern-computer-vision-for-gen-ai-media-research-phd-at-meta-4079766017,"Nov 25, 2024 ... Research Scientist Intern, Computer Vision for Gen AI Media Research (PhD). Meta New York, NY. 2 weeks ago Be among the first 25 applicants."
CCS (Custom Computer Specialists) hiring Project Coordinator in ...,https://www.linkedin.com/jobs/view/project-coordinator-at-ccs-custom-computer-specialists-4083473832,"Nov 22, 2024 ... ... New York City. This person must be willing to work in office headquarters, Hauppauge, Long Island. About Custom Computer Specialists Custom Computer ..."
"Weitz & Luxenberg PC hiring Legal Assistant in New York, NY ...",https://www.linkedin.com/jobs/view/legal-assistant-at-weitz-luxenberg-pc-4078022283,"Nov 19, 2024 ... Posted 4:01:30 PM. Job SummaryThis role will work out of our New York City office assisting attorney(s) by providing…See this and similar jobs on LinkedIn."
